site,tree,canopy_position,canopy_position2,campaign,sampling_date,tissue,tissue2,weight_mg,N_perc_leaf,d15N_leaf,C_perc_leaf,d13C_leaf
MSA,MSA1,sun,sun,spring23,20230531,leaf,leaf,2.53,3.113576529,0.4274008,47.88145472,-27.7554681
MSA,MSA1,shade,shade,spring23,20230531,leaf,leaf,2.441,2.943219063,0.5241592,48.32101878,-29.446386
MSA,MSA1,shade_low,shade,spring23,20230530,leaf,leaf,2.456,2.858531558,0.6955022,48.16176741,-29.30556
MSA,MSA2,sun,sun,spring23,20230530,leaf,leaf,2.403,2.389794808,-2.9803091,48.86596245,-27.7071849
MSA,MSA2,shade,shade,spring23,20230530,leaf,leaf,2.51,2.03818398,-3.0690043,48.23425045,-29.3930733
MSA,MSA2,shade_low,shade,spring23,20230531,leaf,leaf,2.586,1.597855318,-2.5912597,48.76430176,-28.3660494
MSA,MSA3,sun,sun,spring23,20230530,leaf,leaf,2.571,2.298647402,-1.0804176,47.89785535,-28.7764566
MSA,MSA3,shade,shade,spring23,20230531,leaf,leaf,2.465,2.157573345,-1.1953182,47.20691278,-29.7722976
MSA,MSA3,shade_low,shade,spring23,20230531,leaf,leaf,2.482,1.819095353,-1.0612675,48.0074779,-30.2259585
MSA,MSA4,sun,sun,spring23,20230601,leaf,leaf,2.531,2.452849316,-2.7363973,48.27888454,-29.5178049
MSA,MSA4,shade,shade,spring23,20230601,leaf,leaf,2.477,2.192473541,-2.8029187,48.15522724,-30.3929379
MSA,MSA4,shade_low,shade,spring23,20230601,leaf,leaf,2.364,2.157761812,-1.5228857,47.52644873,-30.0710499
MSA,MSA5,sun,sun,spring23,20230531,leaf,leaf,2.579,2.737264015,-1.7395842,48.4926087,-28.229247
MSA,MSA5,shade,shade,spring23,20230531,leaf,leaf,2.568,2.889057082,-1.6146046,47.31927263,-28.430427
MSA,MSA5,shade_low,shade,spring23,20230531,leaf,leaf,2.576,2.37239662,-1.4553564,47.41377502,-28.7080554
MSA,MSA6,sun,sun,spring23,20230601,leaf,leaf,2.537,2.364794024,-2.2223683,49.0243114,-27.2152998
MSA,MSA6,shade,shade,spring23,20230601,leaf,leaf,2.437,2.437231565,-1.983496,48.58790689,-27.7303206
MSA,MSA6,shade_low,shade,spring23,20230601,leaf,leaf,2.56,2.354878936,-2.04397,48.34307927,-27.5291406
ITU,ITU1,shade_low,shade,spring23,20230606,leaf,leaf,2.529,2.353783556,-3.8904428,48.44100503,-31.6935666
ITU,ITU2,shade_low,shade,spring23,20230606,leaf,leaf,2.429,2.657178682,-4.4911512,47.35640223,-31.9259295
ITU,ITU3,shade_low,shade,spring23,20230606,leaf,leaf,2.437,2.76885665,-4.2069234,49.09721589,-33.6963135
ITU,ITU4,shade_low,shade,spring23,20230606,leaf,leaf,2.39,2.597483604,-2.457209,49.17776625,-31.8072333
ITU,ITU5,shade_low,shade,spring23,20230606,leaf,leaf,2.465,2.909429031,-3.4227772,48.39589868,-30.3708081
ITU,ITU6,shade_low,shade,spring23,20230606,leaf,leaf,2.502,2.406165985,-3.0024829,48.71850729,-30.562935
BER,BER1,shade_low,shade,spring23,20230608,leaf,leaf,2.376,2.189631125,-2.003654,48.92630364,-32.001372
BER,BER2,shade_low,shade,spring23,20230608,leaf,leaf,2.457,1.829877025,-2.5801728,48.05770972,-31.0186077
BER,BER3,shade_low,shade,spring23,20230608,leaf,leaf,2.421,1.855562152,-2.6527416,49.55751858,-31.9420239
BER,BER4,shade_low,shade,spring23,20230608,leaf,leaf,2.548,2.520177275,-1.0733623,48.89120057,-32.0184723
BER,BER5,shade_low,shade,spring23,20230608,leaf,leaf,2.415,2.139347314,-0.7488185,49.28489657,-33.3201069
BER,BER6,shade_low,shade,spring23,20230608,leaf,leaf,2.453,1.999204486,-2.2405105,47.7410404,-33.0817086
ART,ART1,shade_low,shade,summer23,20230831,leaf,leaf,2.598,2.577373873,-3.5024013,49.34633755,-32.9388708
ART,ART2,shade_low,shade,spring23,20230607,leaf,leaf,2.497,2.78730433,-3.6021834,48.74096836,-31.5829176
ART,ART3,shade_low,shade,spring23,20230607,leaf,leaf,2.474,2.009877245,-2.7484921,48.83974601,-32.5274577
ART,ART4,shade_low,shade,spring23,20230607,leaf,leaf,2.471,2.450795418,-2.5932755,49.71676736,-32.5636701
ART,ART5,shade_low,shade,spring23,20230607,leaf,leaf,2.49,2.504322419,-2.9067324,49.19747168,-32.9640183
DIU,DIU1,shade_low,shade,spring23,20230615,leaf,leaf,2.46,2.971799841,0.4868669,48.34665442,-29.8678581
DIU,DIU2,shade_low,shade,spring23,20230615,leaf,leaf,2.468,2.15972332,-1.0209515,48.24607024,-30.8878407
DIU,DIU3,shade_low,shade,spring23,20230615,leaf,leaf,2.545,2.190191396,-1.0713465,47.909661,-30.0871443
DIU,DIU4,shade_low,shade,spring23,20230615,leaf,leaf,2.39,2.396449319,-1.3172741,47.85632785,-30.2843007
DIU,DIU5,shade_low,shade,spring23,20230615,leaf,leaf,2.451,2.56317864,-0.6369416,48.43026672,-31.4451093
DIU,DIU6,shade_low,shade,spring23,20230615,leaf,leaf,2.578,2.9135841,-1.5228857,47.73278927,-30.1334157
MSA,MSA1,sun,sun,summer23,20230823,leaf,leaf,2.422,2.443252618,-0.4988593,48.20736808,-28.4595981
MSA,MSA1,shade,shade,summer23,20230823,leaf,leaf,2.584,2.74582691,0.2056628,47.18862257,-28.7060436
MSA,MSA1,shade_low,shade,summer23,20230823,leaf,leaf,2.442,2.730423745,1.1147886,48.6727017,-29.1385806
MSA,MSA2,sun,sun,summer23,20230822,leaf,leaf,2.597,1.941356967,-2.5499358,50.4105485,-28.9866897
MSA,MSA2,shade,shade,summer23,20230822,leaf,leaf,2.455,2.04497855,-1.9250378,49.45808847,-30.492522
MSA,MSA2,shade_low,shade,summer23,20230822,leaf,leaf,2.448,2.340446066,-2.3806086,49.24521832,-29.8095159
MSA,MSA3,sun,sun,summer23,20230823,leaf,leaf,2.611,2.143525309,-1.0804176,48.76355784,-29.2301175
MSA,MSA3,shade,shade,summer23,20230823,leaf,leaf,2.515,2.162290883,-1.0239752,49.06807665,-29.9644245
MSA,MSA3,shade_low,shade,summer23,20230823,leaf,leaf,2.381,1.960695552,-0.9080667,49.20254477,-31.2388998
MSA,MSA5,sun,sun,summer23,20230824,leaf,leaf,2.574,2.285754735,-1.529941,49.58971774,-29.2301175
MSA,MSA5,shade,shade,summer23,20230824,leaf,leaf,2.613,2.520868836,-1.3122346,49.14899531,-30.2078523
MSA,MSA5,shade_low,shade,summer23,20230824,leaf,leaf,2.553,2.414873481,-1.3717007,49.20884483,-30.7993215
MSA,MSA6,sun,sun,summer23,20230824,leaf,leaf,2.536,1.91997147,-2.2435342,48.35982941,-28.531017
MSA,MSA6,shade,shade,summer23,20230824,leaf,leaf,2.46,2.278657536,-1.6196441,48.63828367,-28.0733325
MSA,MSA6,shade_low,shade,summer23,20230824,leaf,leaf,2.447,2.337474818,-1.2316026,48.66968038,-29.0158608
MSA,MSA1,shade_low,shade,summer23,20230904,leaf,leaf,2.569,2.629849164,0.939414,47.98058572,-30.029808
MSA,MSA2,shade_low,shade,summer23,20230904,leaf,leaf,2.564,2.154503321,-2.2979608,48.76208481,-30.6222831
MSA,MSA3,shade_low,shade,summer23,20230904,leaf,leaf,2.437,1.8473733,-0.6671324,48.15339563,-31.495985
MSA,MSA4,shade_low,shade,summer23,20230904,leaf,leaf,2.541,2.4510591,-0.5339972,49.43498318,-30.7216789
MSA,MSA5,shade_low,shade,summer23,20230904,leaf,leaf,2.393,2.3518872,-0.6459518,47.99245757,-30.6230027
MSA,MSA6,shade_low,shade,summer23,20230904,leaf,leaf,2.564,2.3843869,-1.1916044,47.90781467,-29.854738
ITU,ITU1,shade_low,shade,summer23,20230829,leaf,leaf,2.396,2.2440412,-3.9117986,45.88123204,-32.4243468
ITU,ITU2,shade_low,shade,summer23,20230829,leaf,leaf,2.495,2.5970332,-4.773143,48.40644343,-33.3527086
ITU,ITU3,shade_low,shade,summer23,20230829,leaf,leaf,2.491,2.4949769,-4.5371306,48.13016973,-33.751441
ITU,ITU4,shade_low,shade,summer23,20230829,leaf,leaf,2.494,2.4040898,-1.3196966,48.88988859,-31.0650318
ITU,ITU5,shade_low,shade,summer23,20230829,leaf,leaf,2.532,2.7633464,-4.5603284,48.32475295,-32.0034626
ITU,ITU6,shade_low,shade,summer23,20230829,leaf,leaf,2.466,2.7148866,-3.9249104,49.12379687,-30.8415
BER,BER1,shade_low,shade,summer23,20230830,leaf,leaf,2.613,2.0421603,-2.150783,49.91445436,-32.4414641
BER,BER2,shade_low,shade,summer23,20230830,leaf,leaf,2.42,1.9552635,-2.2839182,49.369617,-31.8101378
BER,BER3,shade_low,shade,summer23,20230830,leaf,leaf,2.421,1.8782057,-3.0918068,49.88834537,-31.4567159
BER,BER4,shade_low,shade,summer23,20230830,leaf,leaf,2.472,2.4900569,-0.8910416,49.31847078,-32.9569969
BER,BER5,shade_low,shade,summer23,20230830,leaf,leaf,2.475,2.3547942,-0.799259,49.65831601,-34.1149319
BER,BER6,shade_low,shade,summer23,20230830,leaf,leaf,2.528,2.1379634,-2.619782,48.13363761,-33.4614538
ART,ART1,shade_low,shade,summer23,20230831,leaf,leaf,2.546,2.258309978,-3.5144102,47.28814121,-33.6175233
ART,ART2,shade_low,shade,summer23,20230831,leaf,leaf,2.553,2.263101962,-3.1160132,50.66976516,-32.4464986
ART,ART3,shade_low,shade,summer23,20230831,leaf,leaf,2.479,2.196984153,-2.9859038,50.34438803,-32.8109964
ART,ART4,shade_low,shade,summer23,20230831,leaf,leaf,2.43,2.229112229,-2.8961384,49.60644018,-33.3839225
ART,ART6,shade_low,shade,summer23,20230831,leaf,leaf,2.611,2.550419266,-3.1482884,50.2405242,-32.9338382
DIU,DIU1,shade_low,shade,summer23,20230901,leaf,leaf,2.524,2.112560792,-0.7195796,48.34914238,-29.2938947
DIU,DIU2,shade_low,shade,summer23,20230901,leaf,leaf,2.453,2.184720592,-1.5224252,47.5687301,-30.3612087
DIU,DIU3,shade_low,shade,summer23,20230901,leaf,leaf,2.572,2.10271901,-1.0877186,47.37611005,-29.7026961
DIU,DIU4,shade_low,shade,summer23,20230901,leaf,leaf,2.449,2.654056137,-0.9949274,47.49155783,-29.9886557
DIU,DIU5,shade_low,shade,summer23,20230901,leaf,leaf,2.492,2.247825529,-0.4502834,47.3215967,-31.2190875
DIU,DIU6,shade_low,shade,summer23,20230901,leaf,leaf,2.51,2.441728514,-1.9056932,47.1381168,-30.2081599
